Year,Institution_name,Institution code,Language,Province Name,Column name,Value
2022-2023,Université Laval,446,French, Quebec,01. General operating,750152
2022-2023,University of the Fraser Valley,982,English, British Columbia,Total funds,170960
2022-2023,University of the Fraser Valley,982,English, British Columbia,08. Endowment,216
2022-2023,University of the Fraser Valley,982,English, British Columbia,07. Capital,13595
2022-2023,University of the Fraser Valley,982,English, British Columbia,06. Ancillary,6280
2022-2023,University of the Fraser Valley,982,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of the Fraser Valley,982,English, British Columbia,03. Sponsored Research - Entities Consolidated,3438
2022-2023,University of the Fraser Valley,982,English, British Columbia,02. Special Purpose and Trust,1779
2022-2023,University of the Fraser Valley,982,English, British Columbia,01. General operating,145652
2022-2023,University of Windsor,596,English, Ontario,Total funds,452066
2022-2023,University of Windsor,596,English, Ontario,08. Endowment,7920
2022-2023,University of Windsor,596,English, Ontario,07. Capital,13073
2022-2023,University of Windsor,596,English, Ontario,06. Ancillary,19668
2022-2023,University of Windsor,596,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of Windsor,596,English, Ontario,03. Sponsored Research - Entities Consolidated,32485
2022-2023,University of Windsor,596,English, Ontario,02. Special Purpose and Trust,18050
2022-2023,University of Windsor,596,English, Ontario,01. General operating,360870
2022-2023,University of Waterloo,590,English, Ontario,Total funds,1321157
2022-2023,University of Waterloo,590,English, Ontario,08. Endowment,27102
2022-2023,University of Waterloo,590,English, Ontario,07. Capital,10407
2022-2023,University of Waterloo,590,English, Ontario,06. Ancillary,86296
2022-2023,University of Waterloo,590,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of Waterloo,590,English, Ontario,03. Sponsored Research - Entities Consolidated,224345
2022-2023,University of Waterloo,590,English, Ontario,02. Special Purpose and Trust,47301
2022-2023,University of Waterloo,590,English, Ontario,01. General operating,925706
2022-2023,University of Victoria,986,English, British Columbia,Total funds,765843
2022-2023,University of Victoria,986,English, British Columbia,08. Endowment,17588
2022-2023,University of Victoria,986,English, British Columbia,07. Capital,58317
2022-2023,University of Victoria,986,English, British Columbia,06. Ancillary,63273
2022-2023,University of Victoria,986,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of Victoria,986,English, British Columbia,03. Sponsored Research - Entities Consolidated,139669
2022-2023,University of Victoria,986,English, British Columbia,02. Special Purpose and Trust,24624
2022-2023,University of Victoria,986,English, British Columbia,01. General operating,462372
2022-2023,University of Trinity College,585,English, Ontario,Total funds,32170
2022-2023,University of Trinity College,585,English, Ontario,08. Endowment,756
2022-2023,University of Trinity College,585,English, Ontario,07. Capital,385
2022-2023,University of Trinity College,585,English, Ontario,06. Ancillary,9367
2022-2023,University of Trinity College,585,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of Trinity College,585,English, Ontario,03. Sponsored Research - Entities Consolidated,0
2022-2023,University of Trinity College,585,English, Ontario,02. Special Purpose and Trust,7685
2022-2023,University of Trinity College,585,English, Ontario,01. General operating,13977
2022-2023,University of Toronto,581,English, Ontario,Total funds,5199542
2022-2023,University of Toronto,581,English, Ontario,08. Endowment,77753
2022-2023,University of Toronto,581,English, Ontario,07. Capital,47781
2022-2023,University of Toronto,581,English, Ontario,06. Ancillary,213590
2022-2023,University of Toronto,581,English, Ontario,04. Sponsored Research - Entities Not Consolidated,944981
2022-2023,University of Toronto,581,English, Ontario,03. Sponsored Research - Entities Consolidated,488521
2022-2023,University of Toronto,581,English, Ontario,02. Special Purpose and Trust,196401
2022-2023,University of Toronto,581,English, Ontario,01. General operating,3230515
2022-2023,University of St. Michael's College,569,English, Ontario,Total funds,34046
2022-2023,University of St. Michael's College,569,English, Ontario,08. Endowment,2207
2022-2023,University of St. Michael's College,569,English, Ontario,07. Capital,38
2022-2023,University of St. Michael's College,569,English, Ontario,06. Ancillary,11220
2022-2023,University of St. Michael's College,569,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of St. Michael's College,569,English, Ontario,03. Sponsored Research - Entities Consolidated,93
2022-2023,University of St. Michael's College,569,English, Ontario,02. Special Purpose and Trust,3995
2022-2023,University of St. Michael's College,569,English, Ontario,01. General operating,16493
2022-2023,University of Regina,752,English, Saskatchewan,Total funds,335922
2022-2023,University of Regina,752,English, Saskatchewan,08. Endowment,1065
2022-2023,University of Regina,752,English, Saskatchewan,07. Capital,13976
2022-2023,University of Regina,752,English, Saskatchewan,06. Ancillary,14019
2022-2023,University of Regina,752,English, Saskatchewan,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of Regina,752,English, Saskatchewan,03. Sponsored Research - Entities Consolidated,48955
2022-2023,University of Regina,752,English, Saskatchewan,02. Special Purpose and Trust,20343
2022-2023,University of Regina,752,English, Saskatchewan,01. General operating,237564
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,Total funds,198030
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,08. Endowment,5760
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,07. Capital,12310
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,06. Ancillary,7930
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,03. Sponsored Research - Entities Consolidated,14137
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,02. Special Purpose and Trust,3019
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,01. General operating,154874
2022-2023,University of Ottawa / Université d,555,English, Ontario,Total funds,1676001
2022-2023,University of Ottawa / Université d,555,English, Ontario,08. Endowment,12413
2022-2023,University of Ottawa / Université d,555,English, Ontario,07. Capital,19180
2022-2023,University of Ottawa / Université d,555,English, Ontario,06. Ancillary,49308
2022-2023,University of Ottawa / Université d,555,English, Ontario,04. Sponsored Research - Entities Not Consolidated,284627
2022-2023,University of Ottawa / Université d,555,English, Ontario,03. Sponsored Research - Entities Consolidated,209960
2022-2023,University of Ottawa / Université d,555,English, Ontario,02. Special Purpose and Trust,107245
2022-2023,University of Ottawa / Université d,555,English, Ontario,01. General operating,993268
2022-2023,University of Ontario Institute of,553,English, Ontario,Total funds,217585
2022-2023,University of Ontario Institute of,553,English, Ontario,08. Endowment,1523
2022-2023,University of Ontario Institute of,553,English, Ontario,07. Capital,3489
2022-2023,University of Ontario Institute of,553,English, Ontario,06. Ancillary,5279
2022-2023,University of Ontario Institute of,553,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of Ontario Institute of,553,English, Ontario,03. Sponsored Research - Entities Consolidated,25486
2022-2023,University of Ontario Institute of,553,English, Ontario,02. Special Purpose and Trust,2972
2022-2023,University of Ontario Institute of,553,English, Ontario,01. General operating,178836
2022-2023,University of Northern British Colu,996,English, British Columbia,Total funds,140264
2022-2023,University of Northern British Colu,996,English, British Columbia,08. Endowment,10584
2022-2023,University of Northern British Colu,996,English, British Columbia,07. Capital,1996
2022-2023,University of Northern British Colu,996,English, British Columbia,06. Ancillary,8487
2022-2023,University of Northern British Colu,996,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of Northern British Colu,996,English, British Columbia,03. Sponsored Research - Entities Consolidated,17710
2022-2023,University of Northern British Colu,996,English, British Columbia,02. Special Purpose and Trust,2998
2022-2023,University of Northern British Colu,996,English, British Columbia,01. General operating,98489
2022-2023,University of New Brunswick,352,English, New Brunswick,Total funds,393539
2022-2023,University of New Brunswick,352,English, New Brunswick,08. Endowment,15158
2022-2023,University of New Brunswick,352,English, New Brunswick,07. Capital,13381
2022-2023,University of New Brunswick,352,English, New Brunswick,06. Ancillary,17774
2022-2023,University of New Brunswick,352,English, New Brunswick,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of New Brunswick,352,English, New Brunswick,03. Sponsored Research - Entities Consolidated,50750
2022-2023,University of New Brunswick,352,English, New Brunswick,02. Special Purpose and Trust,46252
2022-2023,University of New Brunswick,352,English, New Brunswick,01. General operating,250224
2022-2023,University of Manitoba,630,English, Manitoba,Total funds,1155290
2022-2023,University of Manitoba,630,English, Manitoba,08. Endowment,9837
2022-2023,University of Manitoba,630,English, Manitoba,07. Capital,124422
2022-2023,University of Manitoba,630,English, Manitoba,06. Ancillary,35249
2022-2023,University of Manitoba,630,English, Manitoba,04. Sponsored Research - Entities Not Consolidated,43902
2022-2023,University of Manitoba,630,English, Manitoba,03. Sponsored Research - Entities Consolidated,166471
2022-2023,University of Manitoba,630,English, Manitoba,02. Special Purpose and Trust,101370
2022-2023,University of Manitoba,630,English, Manitoba,01. General operating,674039
2022-2023,University of Lethbridge,858,English, Alberta,Total funds,205579
2022-2023,University of Lethbridge,858,English, Alberta,08. Endowment,-1207
2022-2023,University of Lethbridge,858,English, Alberta,07. Capital,5312
2022-2023,University of Lethbridge,858,English, Alberta,06. Ancillary,11425
2022-2023,University of Lethbridge,858,English, Alberta,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of Lethbridge,858,English, Alberta,03. Sponsored Research - Entities Consolidated,20893
2022-2023,University of Lethbridge,858,English, Alberta,02. Special Purpose and Trust,12847
2022-2023,University of Lethbridge,858,English, Alberta,01. General operating,156309
2022-2023,University of King's College,242,English, Nova Scotia,Total funds,25337
2022-2023,University of King's College,242,English, Nova Scotia,08. Endowment,1449
2022-2023,University of King's College,242,English, Nova Scotia,07. Capital,431
2022-2023,University of King's College,242,English, Nova Scotia,06. Ancillary,2297
2022-2023,University of King's College,242,English, Nova Scotia,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of King's College,242,English, Nova Scotia,03. Sponsored Research - Entities Consolidated,165
2022-2023,University of King's College,242,English, Nova Scotia,02. Special Purpose and Trust,692
2022-2023,University of King's College,242,English, Nova Scotia,01. General operating,20303
2022-2023,University of Guelph,520,English, Ontario,Total funds,951262
2022-2023,University of Guelph,520,English, Ontario,08. Endowment,28705
2022-2023,University of Guelph,520,English, Ontario,07. Capital,27724
2022-2023,University of Guelph,520,English, Ontario,06. Ancillary,104383
2022-2023,University of Guelph,520,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,University of Guelph,520,English, Ontario,03. Sponsored Research - Entities Consolidated,186211
2022-2023,University of Guelph,520,English, Ontario,02. Special Purpose and Trust,73522
2022-2023,University of Guelph,520,English, Ontario,01. General operating,530717
2022-2023,University of Calgary,830,English, Alberta,Total funds,1626648
2022-2023,University of Calgary,830,English, Alberta,08. Endowment,26766
2022-2023,University of Calgary,830,English, Alberta,07. Capital,38950
2022-2023,University of Calgary,830,English, Alberta,06. Ancillary,58904
2022-2023,University of Calgary,830,English, Alberta,04. Sponsored Research - Entities Not Consolidated,18978
2022-2023,University of Calgary,830,English, Alberta,03. Sponsored Research - Entities Consolidated,526361
2022-2023,University of Calgary,830,English, Alberta,02. Special Purpose and Trust,85429
2022-2023,University of Calgary,830,English, Alberta,01. General operating,871260
2022-2023,University of Alberta,804,English, Alberta,Total funds,2125090
2022-2023,University of Alberta,804,English, Alberta,08. Endowment,79465
2022-2023,University of Alberta,804,English, Alberta,07. Capital,98680
2022-2023,University of Alberta,804,English, Alberta,06. Ancillary,105878
2022-2023,University of Alberta,804,English, Alberta,04. Sponsored Research - Entities Not Consolidated,46965
2022-2023,University of Alberta,804,English, Alberta,03. Sponsored Research - Entities Consolidated,573885
2022-2023,University of Alberta,804,English, Alberta,02. Special Purpose and Trust,108525
2022-2023,University of Alberta,804,English, Alberta,01. General operating,1111692
2022-2023,Trinity Western University,974,English, British Columbia,Total funds,115107
2022-2023,Trinity Western University,974,English, British Columbia,08. Endowment,2370
2022-2023,Trinity Western University,974,English, British Columbia,07. Capital,642
2022-2023,Trinity Western University,974,English, British Columbia,06. Ancillary,10554
2022-2023,Trinity Western University,974,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Trinity Western University,974,English, British Columbia,03. Sponsored Research - Entities Consolidated,1453
2022-2023,Trinity Western University,974,English, British Columbia,02. Special Purpose and Trust,2682
2022-2023,Trinity Western University,974,English, British Columbia,01. General operating,97406
