Year,Institution_name,Institution code,Language,Province Name,Column name,Value,,,,,,,,,,
2022-2023,Université de l'Ontario français,507,French, Ontario,06. Ancillary,0,,,,,,,,,,
2022-2023,Université de l'Ontario français,507,French, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université de l'Ontario français,507,French, Ontario,03. Sponsored Research - Entities Consolidated,76,,,,,,,,,,
2022-2023,Université de l'Ontario français,507,French, Ontario,02. Special Purpose and Trust,0,,,,,,,,,,
2022-2023,Université de l'Ontario français,507,French, Ontario,01. General operating,18407,,,,,,,,,,
2022-2023,Université de Sherbrooke,486,French, Quebec,Total funds,852775,,,,,,,,,,
2022-2023,Université de Sherbrooke,486,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,Université de Sherbrooke,486,French, Quebec,07. Capital,66233,,,,,,,,,,
2022-2023,Université de Sherbrooke,486,French, Quebec,06. Ancillary,15938,,,,,,,,,,
2022-2023,Université de Sherbrooke,486,French, Quebec,04. Sponsored Research - Entities Not Consolidated,23507,,,,,,,,,,
2022-2023,Université de Sherbrooke,486,French, Quebec,03. Sponsored Research - Entities Consolidated,205633,,,,,,,,,,
2022-2023,Université de Sherbrooke,486,French, Quebec,02. Special Purpose and Trust,78434,,,,,,,,,,
2022-2023,Université de Sherbrooke,486,French, Quebec,01. General operating,463030,,,,,,,,,,
2022-2023,Université de Saint-Boniface,652,French, Manitoba,Total funds,39728,,,,,,,,,,
2022-2023,Université de Saint-Boniface,652,French, Manitoba,08. Endowment,0,,,,,,,,,,
2022-2023,Université de Saint-Boniface,652,French, Manitoba,07. Capital,5271,,,,,,,,,,
2022-2023,Université de Saint-Boniface,652,French, Manitoba,06. Ancillary,0,,,,,,,,,,
2022-2023,Université de Saint-Boniface,652,French, Manitoba,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université de Saint-Boniface,652,French, Manitoba,03. Sponsored Research - Entities Consolidated,1038,,,,,,,,,,
2022-2023,Université de Saint-Boniface,652,French, Manitoba,02. Special Purpose and Trust,283,,,,,,,,,,
2022-2023,Université de Saint-Boniface,652,French, Manitoba,01. General operating,33136,,,,,,,,,,
2022-2023,Université de Montréal,460,French, Quebec,Total funds,1638180,,,,,,,,,,
2022-2023,Université de Montréal,460,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,Université de Montréal,460,French, Quebec,07. Capital,144595,,,,,,,,,,
2022-2023,Université de Montréal,460,French, Quebec,06. Ancillary,24170,,,,,,,,,,
2022-2023,Université de Montréal,460,French, Quebec,04. Sponsored Research - Entities Not Consolidated,298605,,,,,,,,,,
2022-2023,Université de Montréal,460,French, Quebec,03. Sponsored Research - Entities Consolidated,250913,,,,,,,,,,
2022-2023,Université de Montréal,460,French, Quebec,02. Special Purpose and Trust,39813,,,,,,,,,,
2022-2023,Université de Montréal,460,French, Quebec,01. General operating,880084,,,,,,,,,,
2022-2023,Université de Moncton,334,French, New Brunswick,Total funds,181408,,,,,,,,,,
2022-2023,Université de Moncton,334,French, New Brunswick,08. Endowment,0,,,,,,,,,,
2022-2023,Université de Moncton,334,French, New Brunswick,07. Capital,4436,,,,,,,,,,
2022-2023,Université de Moncton,334,French, New Brunswick,06. Ancillary,8728,,,,,,,,,,
2022-2023,Université de Moncton,334,French, New Brunswick,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université de Moncton,334,French, New Brunswick,03. Sponsored Research - Entities Consolidated,13405,,,,,,,,,,
